what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1332383028001
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1332383028002
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1332383028002
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1332383028002
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1332383028003
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1332383028009
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1332383028009
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1332383028009
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1332383028010
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1332383028013
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1332383028013
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1332383028014
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1332383028015
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1332383028016
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1332383028016
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1332383028017
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1332383028018
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1332383028019
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1332383028020
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1332383028020
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1332383028021
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1332383028021
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1332383028023
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1332383028023
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1332383028023
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1332383028024
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1332383028024
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1332383028025
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1332383028026
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1332383028026
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1332383028027
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1332383028027
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1332383028027
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1332383028028
os,sysinfo,,,"win32",1332383028031
arch,sysinfo,,,"x86",1332383028031
ws,sysinfo,,,"win32",1332383028031
locale,sysinfo,,,"zh_CN",1332383028031
processors,sysinfo,,,"2",1332383028031
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332383028031
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1332383028031
java.specification.name,sysinfo,,,"Java Platform API Specification",1332383028031
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332383028031
java.specification.version,sysinfo,,,"1.6",1332383028031
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332383028031
java.version,sysinfo,,,"1.6.0_31",1332383028031
java.vm.info,sysinfo,,,"mixed mode, sharing",1332383028031
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1332383028031
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332383028031
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332383028031
java.vm.specification.version,sysinfo,,,"1.0",1332383028031
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332383028031
java.vm.version,sysinfo,,,"20.6-b01",1332383028031
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1332383028037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383038356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383039437
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332383039646
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1332383039678
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1332383039710
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1332383041823
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1332383041860
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1332383041863
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1332383041870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383042066
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1332383042143
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1332383042147
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1332383042148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383044156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383046758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383057329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1332383057339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383059842
error,log,,,"Failed to load properties file for project 'Session1'",1332383087043
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1332383087067
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1332383087087
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1332383088188
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1332383088300
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1332383088301
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1332383088821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383089025
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1332383089332
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1332383089673
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1332383089686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383091204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383091353
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383095139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383097199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383098903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383286542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383287671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383349886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383352531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383455305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383455994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332383481029
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1332383486842
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1332383486988
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1332383487479
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1332383487567
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1332383487634
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1332383488220
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1332383488235
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1332383488356
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1332383488416
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1332383488867
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332383489570
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332383489676
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1332383489865
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1332383489969
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1332383490065
